,,,,,,,,,
대형생활폐기물 수집·운반수수료 품목별 부과기준,,,,,,,,,
,,,,,,,,,
품목별,세 부 품 목 별,규 격,부과금액,,,,,,
"가


전


제


품


류","DVD,비디오(VTR)",,면제,,,,,,
"가


구


류",TV 받 침,,"3,000",,,,,,
,거 실 장,너비 180cm 이상,"10,000",,,,,,
,(유리별도),너비 120cm 이상,"6,000",,,,,,
,,너비 120cm 미만,"4,000",,,,,,
,거 울,가장 긴면 50cm이상,"2,000",,,,,,
,,가장 긴면 50cm미만,"1,000",,,,,,
,렌지대 수납장,,"4,000",,,,,,
,목욕탕 수건함,,"1,000",,,,,,
,문 갑,,"3,000",,,,,,
,문 짝,,"4,000",,,,,,
,서 랍 장,5단 이상,"5,000",,,,,,
,,4단 이하,"3,000",,,,,,
,쇼 파,4인용,"13,000",,,,,,
,(안락의자),3인용,"10,000",,,,,,
,,2인용,"7,000",,,,,,
,,1인용,"4,000",,,,,,
,,스툴,"3,000",,,,,,
,스탠드 옷걸이,가정용(행거),"2,000",,,,,,
,식 탁(나무) (의자별도),6인 이상,"5,000",,,,,,
,,4인 이상,"4,000",,,,,,
,,3인 이하,"3,000",,,,,,
,식 탁(대리석) (의자별도),6인 이상,"13,000",,,,,,
,,4인 이상,"10,000",,,,,,
,신 발 장,높이 1.5m 이상,"4,000",,,,,,
,,높이 1.5m 미만,"2,000",,,,,,
,싱 크 대,개당,"5,000",,,,,,
,쌀 통,,"3,000",,,,,,
,쓰 레 기 통,사무실 옥외용,"2,000",,,,,,
,,가정용,"1,000",,,,,,
,아 이 스 박 스,50L 이상,"3,000",,,,,,
,,30L 이상,"2,000",,,,,,
,,30L 미만,"1,000",,,,,,
,의 자,장의자,"6,000",,,,,,
,,회전의자,"5,000",,,,,,
,,1인용,"2,000",,,,,,
,장 롱,너비 100cm 이상(쪽당),"15,000",,,,,,
,,너비 100cm 미만(쪽당),"10,000",,,,,,
,장 식 장,높이 180cm이상,"10,000",,,,,,
,(찬 장),높이 120cm이상,"6,000",,,,,,
,,높이 120cm미만,"4,000",,,,,,
,,오디오용,"3,000",,,,,,
,진 열 대(목재),1㎡ 당,"5,000",,,,,,
,창 문,,"2,000",,,,,,
,책 상,양수,"8,000",,,,,,
,(유리별도),편수,"5,000",,,,,,
,,서랍 없음,"3,000",,,,,,
,,컴퓨터 책상,"3,000",,,,,,
,책 장,90cm×180cm 이상,"8,000",,,,,,
,(책 꽂 이),90cm×180cm 미만,"5,000",,,,,,
,,4단 이하 ,"2,000",,,,,,
,침 대,어린이 2층,"15,000",,,,,,
,(목 재),2인용 매트리스,"8,000",,,,,,
,,2인용 침대 틀,"7,000",,,,,,
,,1인용 매트리스,"5,000",,,,,,
,,1인용 침대 틀,"5,000",,,,,,
,,유아용,"3,000",,,,,,
,침 대,"2인용 돌, 옥, 황토","30,000",,,,,,
,"(돌,옥,황토 침대)","1인용 돌, 옥, 황토","20,000",,,,,,
,컬 러 박 스,3단 이상,"2,000",,,,,,
,(공간박스),2단 미만,"1,000",,,,,,
,탁 구 대,,"7,000",,,,,,
,탁 자,10인용 이상,"8,000",,,,,,
,,10인용 미만,"6,000",,,,,,
,,2인용,"3,000",,,,,,
,,응접용,"3,000",,,,,,
,,협 탁,"2,000",,,,,,
,캐 비 넷,90cm×180cm ,"4,000",,,,,,
,(파 일),4단 이상,"3,000",,,,,,
,,3단 이하,"2,000",,,,,,
,파 티 션,1㎡당,"2,000",,,,,,
,화 장 대(경대),가정용,"3,000",,,,,,
"생





활





류",가 방 류,가장긴면 50cm 이상,"3,000",,,,,,
,,가장긴면 50cm 미만,"2,000",,,,,,
,빨 래 건조대,길이 1m 이상,"2,000",,,,,,
,,길이 1m 미만,"1,000",,,,,,
,게 시 판 (화이트보드),가장 긴면 1m이상,"2,000",,,,,,
,,가장 긴면 1m미만 ,"1,000",,,,,,
,고 무 통,지름 1m 이상,"5,000",,,,,,
,,지름 50cm이상,"4,000",,,,,,
,,지름 50cm미만,"3,000",,,,,,
,교자상_밥상,4인 이상 ,"2,000",,,,,,
,,4인 미만,"1,500",,,,,,
,,차식탁 (다과상),"1,000",,,,,,
,금 고,가장 긴면,"15,000",,,,,,
,(가 정 용),1m 미만,,,,,,,
,,가장 긴면 30cm 미만,"10,000",,,,,,
,난 로,가스,"2,000",,,,,,
,,석유,"2,000",,,,,,
,,전기,면제,,,,,,
,,벽걸이,면제,,,,,,
,다 리 미 판,,"1,000",,,,,,
,도 마,업소용 나무도마,"2,000",,,,,,
,,가정용 나무도마,"1,000",,,,,,
,"돗 자 리 (대자리,놀이매트)",1㎡당,"1,000",,,,,,
,마 네 킹,1m 이상,"5,000",,,,,,
,,1m 미만,"3,000",,,,,,
,바 둑 판,두께 60mm 이상,"2,000",,,,,,
,,두께 12mm,"1,000",,,,,,
,방 석,겨울용,"1,000",,,,,,
,,여름용,500,,,,,,
,배 기 후 드,,"2,000",,,,,,
,베개(라텍스베개),,"1,000",,,,,,
,벽 시 계,"길이 1m이상, 지름 28cm이상","2,000",,,,,,
,,"길이 1m미만, 지름 28cm미만","1,000",,,,,,
,병 풍 ,2폭당,"1,000",,,,,,
,보 행 기 ,,"2,000",,,,,,
,블 라 인 드 ,1㎡당,"1,000",,,,,,
,비 닐 옷 장 (비키니옷장),,"3,000",,,,,,
,비 데,,"1,000",,,,,,
,수 도 호 스,10m 당,"1,000",,,,,,
,스 키,스키(부츠별도),"3,000",,,,,,
,,스키부츠,"2,000",,,,,,
,액 자,가장 긴면 100cm초과,"3,000",,,,,,
,,가장 긴면 50cm이상,"2,000",,,,,,
,,가장 긴면 50cm미만,"1,000",,,,,,
,어 항,"영업용, 2m이상","15,000",,,,,,
,(수족관),가장 긴면 1m이상,"5,000",,,,,,
,,가장 긴면 1m미만,"1,000",,,,,,
,올 갠,일반용,"10,000",,,,,,
,,전자식,"5,000",,,,,,
,우 산,일반용,"1,000",,,,,,
,,어린이용,면제,,,,,,
,유 리,0.5㎡ 당,"1,000",,,,,,
,유 모 차,2인용,"4,000",,,,,,
,,1인용,"2,000",,,,,,
,이 불,겨울용,"2,000",,,,,,
,인 형,,"1,000",,,,,,
,자 전 거,성인용,"3,000",,,,,,
,,아동용 2륜,"2,000",,,,,,
,,아동용 3륜,"2,000",,,,,,
,장 난 감,길이 50cm이상,"2,000",,,,,,
,,길이 50cm미만,"1,000",,,,,,
,장 판,옥 자석 온수 등 2인용,"7,000",,,,,,
,,옥 자석 온수 등 1인용,"4,000",,,,,,
,,전기장판(2인용),"3,000",,,,,,
,,전기장판(1인용),"2,000",,,,,,
,,3.3㎡당,"2,000",,,,,,
,재 봉 틀,(재봉틀대),"2,000",,,,,,
,전 기 담 요,2인용,"2,000",,,,,,
,,1인용,"1,000",,,,,,
,조 명 기 구,샹드레아,"2,000",,,,,,
,(모든 규격),"폭, 높이 1m이상","2,000",,,,,,
,,"폭, 높이 1m미만","1,000",,,,,,
,천 막,길이 6m 이상,"7,000",,,,,,
,,길이 6m 미만,"5,000",,,,,,
,카 시 트,,"2,000",,,,,,
,카 페 트,3.3㎡당,"2,000",,,,,,
,커 튼,2m 이상,"2,000",,,,,,
,,2m 미만,"1,000",,,,,,
,커 튼 봉,,"1,000",,,,,,
,킥 보 드,,"2,000",,,,,,
,라 켓 ,테니스 라켓,"1,000",,,,,,
,,배드민턴 라켓,500,,,,,,
,텐 트,4인용 이상,"4,000",,,,,,
,,4인용 미만,"3,000",,,,,,
,피 아 노,일반 ,"16,000",,,,,,
,,디지털,"5,000",,,,,,
,항 아 리,높이 50cm 이상,"5,000",,,,,,
,,높이 50cm 미만,"3,000",,,,,,
,행 거,2단 행거,"3,000",,,,,,
,,1단 행거,"2,000",,,,,,
,헬 스 기 구,런닝머신,"15,000",,,,,,
,,헬스자전거,"7,000",,,,,,
,,스텝퍼,"4,000",,,,,,
,화 환,,"3,000",,,,,,
,휠 체 어,,"3,000",,,,,,
,(입)간 판,고무통 입간판,"5,000",,,,,,
,,40cm ×100cm 당,"4,000",,,,,,
,,가장 긴면 1m 이상,"2,000",,,,,,
,,가장 긴면 1m 미만,"1,000",,,,,,
"기


타


류",기 름 탱 크,400L 이상,"7,000",,,,,,
,,400L 미만,"4,000",,,,,,
,물 탱 크,1톤당,"6,000",,,,,,
,,0.5톤 이상,"4,000",,,,,,
,,0.5톤 미만,"3,000",,,,,,
,변 기,양변기,"8,000",,,,,,
,,좌변기 ,"5,000",,,,,,
,보 일 러,16kcal/h 이상,"12,000",,,,,,
,,16kcal/h 미만,"10,000",,,,,,
,세 면 대,세면대 세트,"3,000",,,,,,
,욕 조,일 반 용,"5,000",,,,,,
,,유 아 용,"3,000",,,,,,
,타 이 어,지름 110cm이상,"6,000",,,,,,
,,지름 60cm 이상,"5,000",,,,,,
,,지름 60cm 미만,"3,000",,,,,,
,화 분,지름 50cm 이상,"2,000",,,,,,
,,지름 50cm 미만,"1,000",,,,,,
,소 화 기,대형(20㎏ 이상),"3,000",,,,,,
,,,,,,,,,
,,"중형
(4.5㎏초과 20㎏미만)","2,000",,,,,,
,,소형(4.5㎏ 이하),"1,000",,,,,,
,,,,,,,,,
,,,,,,,,,
1. 위 품목에 명시되지 않은 품목은 종류 및 규격을 감안하여 유사품목의 수수료를 적용,,,,,,,,,
"2. 항아리, 변기, 욕조 등 특수규격봉투(민원성 마대) 처리 선택 가능 ",,,,,,,,,
3. 다량배출사업장 폐기물은 수거대상에서 제외,,,,,,,,,
